sample_id,rainfall_mm_per_hour,elevation_meters,soil_saturation,impassable_within_two_hours,synthetic
syn-00000,9.41417,15.28120,0.2170607,0,True
syn-00001,20.29765,2.00086,0.8814434,0,True
syn-00002,18.06879,19.65923,0.6635560,0,True
syn-00003,8.79964,8.39602,0.2707008,0,True
syn-00004,93.18807,14.27130,0.4032072,0,True
syn-00005,63.30302,24.58361,0.4559406,0,True
syn-00006,36.83057,11.77642,0.7675308,0,True
syn-00007,10.53291,9.49528,0.7352535,0,True
syn-00008,32.35213,13.83478,0.7884970,0,True
syn-00009,25.64828,7.51599,0.5733303,1,True
syn-00010,134.48508,20.95147,0.7091116,1,True
syn-00011,70.67980,14.98137,0.7044195,1,True
syn-00012,78.27412,23.40265,0.8574804,1,True
syn-00013,33.49704,8.95430,0.6349803,0,True
syn-00014,12.61605,14.81943,0.5420755,0,True
syn-00015,58.53259,9.40227,0.8433800,1,True
syn-00016,51.03757,3.89000,0.5826653,0,True
syn-00017,93.34799,12.03538,0.5293732,0,True
syn-00018,21.82654,11.53442,0.3461708,0,True
syn-00019,59.04512,12.04035,0.7615576,1,True
syn-00020,23.04058,19.08676,0.8613052,1,True
syn-00021,25.25580,18.17457,0.7609357,0,True
syn-00022,35.78946,14.66439,0.4625311,0,True
syn-00023,92.94310,3.29643,0.1229836,1,True
syn-00024,51.20240,23.14123,0.0639311,0,True
syn-00025,19.17052,16.87952,0.7668723,0,True
syn-00026,57.67139,19.50321,0.7594503,1,True
syn-00027,64.55220,22.59282,0.9214067,1,True
syn-00028,104.51273,15.57129,0.9058837,1,True
syn-00029,138.01147,2.50731,0.6246455,1,True
syn-00030,31.37863,10.44841,0.9116672,0,True
syn-00031,78.31624,3.08750,0.5922782,1,True
syn-00032,16.75137,6.19516,0.7654625,0,True
syn-00033,7.39566,2.12652,0.5204480,0,True
syn-00034,7.50223,21.30923,0.5456771,0,True
syn-00035,109.99898,16.16565,0.6678126,0,True
syn-00036,98.97680,28.27157,0.3106754,1,True
syn-00037,24.35944,2.47128,0.7380574,0,True
syn-00038,48.84968,15.31279,0.6849009,0,True
syn-00039,40.24609,0.63877,0.8396400,1,True
syn-00040,49.15616,0.00000,0.4783899,1,True
syn-00041,31.57750,24.79491,0.6244784,0,True
syn-00042,14.63976,13.96660,0.9539941,0,True
syn-00043,71.61597,13.90400,0.5864826,1,True
syn-00044,25.26331,14.77081,0.5254195,0,True
syn-00045,6.20250,7.83424,0.5496207,0,True
syn-00046,16.99728,0.45081,0.7173330,1,True
syn-00047,49.63168,18.00051,0.1896289,0,True
syn-00048,25.05915,17.10533,0.8767076,0,True
syn-00049,68.78870,7.77532,0.7768120,1,True
syn-00050,11.47654,13.12159,0.3129551,0,True
syn-00051,57.45539,19.95641,0.4482528,1,True
syn-00052,9.30699,16.55910,0.4893654,0,True
syn-00053,60.54921,0.00000,0.7154809,1,True
syn-00054,48.99378,18.70408,0.4386872,0,True
syn-00055,76.44695,19.30707,0.7137818,1,True
syn-00056,41.29759,16.89871,0.7592317,0,True
syn-00057,11.19620,20.08744,0.3226147,0,True
syn-00058,120.56531,0.00000,0.7084135,1,True
syn-00059,62.97214,0.00000,0.5652280,1,True
syn-00060,9.56964,8.47451,0.1822453,0,True
syn-00061,41.74910,10.09963,0.5990536,1,True
syn-00062,96.30692,0.00000,0.9418730,1,True
syn-00063,20.76684,9.83855,0.6119146,1,True
syn-00064,81.46727,23.11573,0.4229402,0,True
syn-00065,5.39498,22.11802,0.2820212,0,True
syn-00066,34.71995,14.98879,0.4608213,0,True
syn-00067,22.31658,11.73477,0.7622885,0,True
syn-00068,27.34616,19.34589,0.6543847,0,True
syn-00069,21.50469,0.00000,0.3484505,0,True
syn-00070,30.46821,6.26252,0.6882211,0,True
syn-00071,73.90408,22.36315,0.8427362,1,True
syn-00072,96.73199,8.93844,0.7483844,1,True
syn-00073,7.60539,0.00000,0.4289249,0,True
syn-00074,40.89210,9.08927,0.2492083,0,True
syn-00075,115.15769,6.20685,0.1121201,1,True
syn-00076,68.76253,6.28681,0.7577782,1,True
syn-00077,56.61751,4.96095,0.3681448,1,True
syn-00078,7.96619,20.01268,0.5693936,0,True
syn-00079,86.33688,20.66900,0.6691844,1,True
syn-00080,17.79466,12.27818,0.3853066,0,True
syn-00081,14.63280,5.52149,0.6795949,0,True
syn-00082,50.65291,20.55854,0.1935701,0,True
syn-00083,49.65403,23.53176,0.5448117,0,True
syn-00084,16.21785,27.92221,0.9446113,0,True
syn-00085,33.27560,23.73074,0.7447959,0,True
syn-00086,8.36789,27.02257,0.7294250,0,True
syn-00087,7.82282,5.95998,0.4251534,0,True
syn-00088,6.78573,1.56606,0.7618077,0,True
syn-00089,58.90247,15.22985,0.3635114,0,True
syn-00090,70.91120,24.71230,0.4995930,0,True
syn-00091,13.64017,29.59691,0.5259272,0,True
syn-00092,82.09235,12.62039,0.6306220,1,True
syn-00093,56.92805,7.51111,0.5986751,1,True
syn-00094,10.27141,24.08281,0.7938033,0,True
syn-00095,28.42644,4.24789,0.6558240,1,True
syn-00096,44.75888,21.02661,0.6728929,0,True
syn-00097,67.07116,22.32265,0.8884497,1,True
syn-00098,42.15734,8.26544,0.2002348,0,True
syn-00099,46.50828,9.45726,0.9048836,1,True
syn-00100,79.53316,7.47005,0.9729418,1,True
syn-00101,45.34014,0.00000,0.6427848,0,True
syn-00102,44.40474,16.48224,0.1649579,0,True
syn-00103,127.85185,3.96145,0.5508625,1,True
syn-00104,46.40354,6.50923,0.3749198,0,True
syn-00105,26.79917,10.15480,0.6029451,0,True
syn-00106,31.02044,1.20375,0.5104512,0,True
syn-00107,70.93878,5.51363,0.7211803,1,True
syn-00108,41.09327,13.31092,0.8383262,1,True
syn-00109,25.24669,5.68843,0.2867292,0,True
syn-00110,53.44952,0.00000,0.5164644,1,True
syn-00111,29.08752,17.51693,0.1816185,0,True
syn-00112,47.97860,13.52609,0.7018464,1,True
syn-00113,51.45086,19.13566,0.5798430,1,True
syn-00114,62.32531,22.52213,0.4560069,0,True
syn-00115,69.68988,13.54833,0.6676271,1,True
syn-00116,84.25096,27.11291,0.3440888,1,True
syn-00117,9.27689,6.90398,0.5619085,0,True
syn-00118,29.84694,7.12025,0.8444757,0,True
syn-00119,36.31650,25.95922,0.6389358,0,True
syn-00120,30.58784,22.12821,0.6290329,0,True
syn-00121,21.66529,9.85901,0.4600515,1,True
syn-00122,11.95509,16.90919,0.5835370,1,True
syn-00123,72.33716,16.42691,0.5414669,1,True
syn-00124,47.80124,12.90039,0.9345428,0,True
syn-00125,92.43373,18.46444,0.3117121,1,True
syn-00126,40.86908,22.61766,0.7208399,1,True
syn-00127,27.39331,7.49775,0.7015910,0,True
syn-00128,33.83079,19.65601,0.6004775,0,True
syn-00129,68.68493,1.68145,0.6064546,1,True
syn-00130,44.26606,7.53838,0.3608657,1,True
syn-00131,7.90272,15.80281,0.5902402,0,True
syn-00132,13.69163,17.40996,0.4827556,0,True
syn-00133,55.65359,1.84943,0.4761493,0,True
syn-00134,48.97913,20.91536,0.2421119,0,True
syn-00135,58.76684,10.34050,0.8871726,1,True
syn-00136,30.68232,10.28727,0.5327471,0,True
syn-00137,86.27852,23.05714,0.6954238,1,True
syn-00138,1.12195,0.00000,0.3301767,0,True
syn-00139,49.80476,6.95875,0.7026330,1,True
syn-00140,29.27302,14.66749,0.6239498,0,True
syn-00141,16.01851,4.08639,0.6271064,0,True
syn-00142,23.85533,16.18908,0.8313113,1,True
syn-00143,32.67401,16.51100,0.7478206,0,True
syn-00144,66.92223,5.70511,0.6133567,1,True
syn-00145,82.38363,4.95283,0.7410372,1,True
syn-00146,17.45371,0.00000,0.2774429,0,True
syn-00147,16.64099,34.31848,0.4528163,0,True
syn-00148,48.17585,8.99968,0.5342568,1,True
syn-00149,79.34842,26.02012,0.5280653,0,True
syn-00150,92.39799,28.78763,0.3707304,0,True
syn-00151,75.51530,4.94837,0.3497463,0,True
syn-00152,39.60977,0.00000,0.7312402,0,True
syn-00153,73.02033,15.96173,0.7021233,0,True
syn-00154,31.19697,16.91323,0.9246513,0,True
syn-00155,15.45893,15.10238,0.8744391,0,True
syn-00156,50.60061,10.77352,0.9121580,0,True
syn-00157,31.01482,0.00000,0.4943326,1,True
syn-00158,58.71823,12.21161,0.6763150,1,True
syn-00159,47.68078,26.35231,0.3311103,0,True
syn-00160,6.81350,2.50067,0.4603056,0,True
syn-00161,8.21842,9.70474,0.3494093,0,True
syn-00162,23.43564,10.92019,0.9151388,1,True
syn-00163,8.28819,8.76883,0.3961253,1,True
syn-00164,41.36487,15.26358,0.3323337,0,True
syn-00165,37.31319,36.06978,0.5546125,0,True
syn-00166,7.05796,15.61554,0.3387916,0,True
syn-00167,27.36815,18.90103,0.4878715,0,True
